2025-09-15 18:18:31 | INFO     | main | export_collection_to_parquet:85 | Start export: db=DB_UMA coll=orders batch_size=5000
2025-09-15 18:18:31 | INFO     | main | export_collection_to_parquet:115 | ✅ Exported 0 rows from orders in 0.20s
2025-09-15 18:18:41 | INFO     | main | export_collection_to_parquet:85 | Start export: db=DB_UMA coll=orders batch_size=5000
2025-09-15 18:18:42 | INFO     | main | export_collection_to_parquet:115 | ✅ Exported 0 rows from orders in 0.03s
2025-09-15 18:19:59 | INFO     | main | export_collection_to_parquet:85 | Start export: db=DB_UMA coll=orders batch_size=5000
2025-09-15 18:19:59 | INFO     | main | export_collection_to_parquet:115 | ✅ Exported 0 rows from orders in 0.03s
2025-09-15 18:22:00 | INFO     | main | export_collection_to_parquet:85 | Start export: db=DB_UMA coll=summary batch_size=5000
2025-09-15 18:22:00 | ERROR    | main | export_collection_to_parquet:119 | Export failed: cannot mix list and non-list, non-null values
2025-09-15 18:22:24 | INFO     | main | export_collection_to_parquet:85 | Start export: db=DB_UMA coll=summary batch_size=5000
2025-09-15 18:22:24 | ERROR    | main | export_collection_to_parquet:119 | Export failed: Expected bytes, got a 'int' object
2025-09-15 18:24:49 | INFO     | main | export_collection_to_parquet:102 | Start export: db=DB_UMA coll=summary batch_size=5000
2025-09-15 18:24:49 | ERROR    | main | export_collection_to_parquet:136 | Export failed: Could not convert 'criteo' with type str: tried to convert to boolean
2025-09-15 18:25:44 | INFO     | main | export_collection_to_parquet:104 | Start export: db=DB_UMA coll=summary batch_size=5000
2025-09-15 18:25:44 | ERROR    | main | export_collection_to_parquet:138 | Export failed: Expected bytes, got a 'int' object
2025-09-15 19:17:19 | INFO     | main | export_collection_to_parquet:104 | Start export: db=DB_UMA coll=summary batch_size=5000
2025-09-15 19:17:19 | ERROR    | main | export_collection_to_parquet:138 | Export failed: Expected bytes, got a 'int' object
2025-09-15 19:19:00 | INFO     | main | export_collection_to_parquet:105 | Start export: db=DB_UMA coll=summary batch_size=5000
2025-09-15 19:19:00 | ERROR    | main | export_collection_to_parquet:158 | Export failed: Expected bytes, got a 'int' object
2025-09-16 11:04:09 | INFO     | main | export_to_gcs:42 | Connected to MongoDB: DB_UMA/summary
2025-09-16 11:04:09 | INFO     | main | export_to_gcs:58 | Exported 1000 documents
2025-09-16 11:04:09 | INFO     | main | export_to_gcs:58 | Exported 2000 documents
2025-09-16 11:04:09 | INFO     | main | export_to_gcs:58 | Exported 3000 documents
2025-09-16 11:04:10 | INFO     | main | export_to_gcs:58 | Exported 4000 documents
2025-09-16 11:04:10 | INFO     | main | export_to_gcs:58 | Exported 5000 documents
2025-09-16 11:04:10 | INFO     | main | export_to_gcs:58 | Exported 6000 documents
2025-09-16 11:04:10 | INFO     | main | export_to_gcs:58 | Exported 7000 documents
2025-09-16 11:04:10 | INFO     | main | export_to_gcs:58 | Exported 8000 documents
2025-09-16 11:04:10 | INFO     | main | export_to_gcs:58 | Exported 9000 documents
2025-09-16 11:04:10 | INFO     | main | export_to_gcs:58 | Exported 10000 documents
2025-09-16 11:04:10 | INFO     | main | export_to_gcs:58 | Exported 11000 documents
